Latitude,Longitude,Depth,Datetime,Surf_DH
87.465,-5.993,4.341294921875,2008-08-15,0.25316
87.482,-6.747,4.326080078125,2008-08-16,0.25492
87.478,-6.85,4.32362890625,2008-08-16,0.25381
87.474,-7.085,4.3447216796875,2008-08-16,0.25507
87.473,-7.257,4.32571044921875,2008-08-16,0.25437
87.494,-8.295,4.32480322265625,2008-08-17,0.25364
87.493,-8.41,4.3298671875,2008-08-17,0.25485
87.493,-8.531,4.3240185546875,2008-08-17,0.25492
87.498,-8.706,4.326783203125,2008-08-17,0.25466
87.501,-8.779,4.32391357421875,2008-08-17,0.25309
87.499,-8.827,4.34034521484375,2008-08-17,0.25662
87.497,-8.937,4.3273671875,2008-08-17,0.25681
87.497,-9.05,4.32046240234375,2008-08-18,0.25657
87.499,-9.143,4.344595703125,2008-08-18,0.25839
87.5,-9.152,4.344595703125,2008-08-18,0.25771
87.494,-9.32,4.33339990234375,2008-08-18,0.25762
87.492,-9.278,4.33284814453125,2008-08-18,0.25813
87.488,-9.398,4.329931640625,2008-08-19,0.25934
87.485,-9.344,4.33038720703125,2008-08-19,0.25887
87.475,-9.356,4.3155595703125,2008-08-19,0.25867
87.472,-9.233,4.31655078125,2008-08-19,0.25771
87.47,-9.06,4.322958984375,2008-08-19,0.25704
87.465,-8.93,4.32668994140625,2008-08-19,0.25685
87.46,-8.812,4.3263544921875,2008-08-19,0.25628
87.454,-8.709,4.3288408203125,2008-08-19,0.25604
87.449,-8.57,4.32641748046875,2008-08-20,0.2549
87.445,-8.361,4.32793994140625,2008-08-20,0.25567
87.43,-8.168,4.3213056640625,2008-08-20,0.25395
87.42,-8.153,4.31655712890625,2008-08-20,0.25405
87.418,-8.088,4.32237158203125,2008-08-20,0.25419
87.415,-7.89,4.31874658203125,2008-08-20,0.25334
87.411,-7.762,4.34017529296875,2008-08-20,0.25394
87.403,-7.62,4.313408203125,2008-08-20,0.25432
87.392,-7.529,4.326736328125,2008-08-21,0.25398
87.384,-7.281,4.32013525390625,2008-08-21,0.25341
87.376,-7.189,4.31876025390625,2008-08-21,0.25408
87.369,-7.172,4.33796728515625,2008-08-21,0.25379
87.367,-7.049,4.33599462890625,2008-08-21,0.25323
87.364,-7.135,4.33573193359375,2008-08-21,0.25382
87.369,-7.164,4.3316015625,2008-08-22,0.25316
87.368,-7.299,4.31896923828125,2008-08-22,0.25366
87.371,-7.404,4.31733349609375,2008-08-22,0.25513
87.384,-8.138,4.31063525390625,2008-08-23,0.25549
87.389,-8.446,4.32217626953125,2008-08-23,0.2572
87.404,-8.554,4.3178974609375,2008-08-23,0.25649
87.406,-8.424,4.31659375,2008-08-24,0.257
87.406,-8.284,4.31474755859375,2008-08-24,0.25686
87.406,-8.177,4.335923828125,2008-08-24,0.25717
87.408,-8.063,4.31971484375,2008-08-24,0.25593
87.413,-7.953,4.329185546875,2008-08-24,0.25776
87.415,-7.821,4.33740234375,2008-08-24,0.25691
87.415,-7.696,4.3273291015625,2008-08-24,0.25632
87.414,-7.501,4.32871484375,2008-08-24,0.25689
87.418,-7.41,4.333263671875,2008-08-24,0.25607
