Latitude,Longitude,Depth,Datetime,Surf_DH
72.8145,19.915,0.42887652,2009-01-25,0.11812
73.218,20.8747,0.47929308,2009-02-10,0.15016
73.9577,25.401,0.43574315,2009-02-14,0.10623
73.545,24.4015,0.4498423,2009-02-15,0.10373
73.245,19.3847,0.48374614,2009-03-06,0.13625
73.5015,19.3408,0.31401563,2009-03-06,0.13191
68.8512,13.2967,2.5220752,2009-03-19,0.22565
65.9842,2.004,2.007795,2009-04-10,0.17702
69.9515,9.5833,2.8278503,2009-04-06,0.14901
68.8013,6.9888,3.0887456,2009-04-06,0.1456
67.6835,4.9045,1.3452514,2009-04-07,0.17653
65.6542,9.7347,0.28033572,2009-04-18,0.24737
69.3175,14.444,2.4781418,2009-04-23,0.15973
69.7842,16.2345,1.9785126,2009-04-24,0.17828
66.2312,3.5348,1.4650923,2009-05-06,0.21551
71.474,13.5677,1.8141471,2009-05-21,0.16531
72.2182,13.6992,1.2803344,2009-05-22,0.12773
72.241,10.5513,2.1094732,2009-05-23,0.11406
66.665,-56.6517,0.47815186,2009-06-20,0.2965
68.18,-58.01,0.32157162,2009-06-25,0.3229
66.9052,-53.3913,nan,2009-06-10,0.37494
66.6832,-56.6318,0.42742392,2009-06-11,0.27204
66.7665,-53.8268,nan,2009-06-11,0.33576
65.0997,-54.967,0.09458035,2009-06-12,0.27759
67.3837,1.1648,2.4550166,2009-06-27,0.18239
67.2083,1.218,2.3472831,2009-06-27,0.23135
68.284,2.002,2.9005146,2009-06-29,0.16436
68.8183,-53.0283,0.82213414,2009-07-01,0.38226
68.9417,-53.1917,0.47100276,2009-07-01,0.36792
69.2167,-52.5183,nan,2009-07-02,0.38085
69.705,-51.475,nan,2009-07-08,0.37169
70.7583,-59.5567,0.3739757,2009-07-16,0.34585
70.7467,-57.7133,0.3358065,2009-07-16,0.3359
70.7483,-57.01,0.3387789,2009-07-16,0.32895
70.75,-56.1817,0.43653092,2009-07-16,0.32734
69.4837,10.9538,2.958922,2009-07-28,0.23154
68.8505,12.8035,2.7573617,2009-07-29,0.29909
68.8087,-15.9845,1.0617074,2009-07-22,0.05977
67.191,-13.6345,1.6465187,2009-08-17,0.09472
78.5008,6.6018,1.7304728,2009-08-06,0.09187
78.8348,4.6655,2.4836795,2009-08-07,0.12454
77.9178,8.3547,1.9065976,2009-08-08,0.11211
77.9507,7.5693,3.3605137,2009-08-09,0.07854
77.9645,7.1675,3.4706864,2009-08-09,0.07541
76.4582,13.968,0.22342598,2009-08-13,0.15976
76.4918,14.134,0.1985579,2009-08-13,0.16511
72.0007,14.7343,1.0398208,2009-08-03,0.24265
73.9605,21.8512,0.30652717,2009-08-26,0.10755
78.8343,6.517,1.4825696,2009-09-11,0.10423
78.834,7.927,1.1012477,2009-09-11,0.12121
72.4007,14.9523,0.5732977,2009-09-03,0.21689
71.2348,15.9952,1.0398138,2009-09-03,0.2217
71.7057,15.751,0.61389065,2009-09-21,0.22087
78.8793,8.3838,0.7452715,2009-09-14,0.15375
70.208,23.0178,nan,2009-10-05,0.45311
71.5013,15.0105,1.1050222,2009-11-13,0.20972
71.4848,14.7635,1.2363982,2009-11-14,0.20752
71.1337,15.7525,1.3406744,2009-11-17,0.18096
70.8845,13.792,2.0928178,2009-11-18,0.16467
69.2348,11.6233,2.9062178,2009-11-21,0.31015
69.7007,10.271,2.9066544,2009-11-22,0.28011
69.9513,9.5812,2.8278503,2009-11-22,0.21401
84.521,151.635,1.953653,2009-01-10,15358636460.3296
85.269,154.02,1.6161857,2009-01-18,14282786189.4482
85.324,152.731,0.8275981,2009-01-20,0.2713
85.429,151.875,0.65992707,2009-01-22,13931587401.0516
88,-80.867,2.7113035,2009-04-25,0.39704
88,-80.4,2.7210057,2009-04-26,0.3921
88,-79.533,2.635602,2009-04-27,0.39469
88.033,-78.033,2.2349408,2009-04-28,0.39477
88.083,-77.15,2.0106292,2009-04-29,0.38791
88.083,-76.767,1.8678669,2009-04-30,0.3856
88.083,-76.067,1.7948055,2009-05-01,0.38722
88.117,-75.967,1.517021,2009-05-02,0.38542
88.117,-77.583,1.8675302,2009-05-03,0.3848
88.15,-80.5,2.1603153,2009-05-04,0.39088
88.15,-80.133,2.0744648,2009-05-05,0.38426
88.167,-80.833,2.1832018,2009-05-06,0.38773
88.183,-81.817,2.291774,2009-05-07,0.38866
88.217,-81.85,2.102086,2009-05-08,0.39053
88.25,-83.383,2.248664,2009-05-09,0.38981
88.233,-84.717,2.580993,2009-05-10,0.40086
88.2,-86.25,2.755654,2009-05-11,0.40163
88.183,-86.633,2.7649934,2009-05-12,0.40042
88.217,-89.883,3.0631185,2009-05-13,0.39952
88.167,-88.867,3.045451,2009-05-14,0.39668
88.233,-85.133,2.619096,2009-05-15,0.39443
88.333,-82.05,1.766491,2009-05-16,0.37248
88.383,-77.383,1.7493517,2009-05-17,0.37134
88.45,-74.45,1.3744236,2009-05-18,0.36329
88.483,-72.433,1.4036053,2009-05-19,0.36039
88.533,-69.783,1.4032965,2009-05-20,0.34471
88.533,-68.883,1.3823417,2009-05-21,0.34607
88.45,-71.017,1.4089018,2009-05-22,0.36472
88.367,-69.3,1.3718511,2009-05-23,0.3692
88.317,-65.05,1.4815892,2009-05-24,0.36853
88.3,-64.35,1.462164,2009-05-25,0.36903
88.317,-63.05,1.2795386,2009-05-26,0.36011
88.317,-62.717,1.2625108,2009-05-27,0.36247
88.25,-62.217,1.421813,2009-05-28,0.36437
88.217,-62.167,1.4629421,2009-05-29,0.3628
88.183,-62.433,1.4950993,2009-05-30,0.36949
88.133,-62.1,1.4647691,2009-05-31,0.375
88.117,-61.617,1.4900757,2009-06-01,0.37273
88.083,-61.567,1.456093,2009-06-02,0.36919
88.05,-59.767,1.4683114,2009-06-03,0.37828
88,-59.283,1.4291847,2009-06-04,0.37791
87.967,-57.35,1.5211375,2009-06-05,0.37997
87.9,-55.733,1.7553515,2009-06-06,0.37811
87.883,-54.383,2.0376248,2009-06-07,0.37798
87.85,-52.983,2.4120393,2009-06-08,0.37218
87.817,-51.017,2.482111,2009-06-09,0.37316
87.767,-49.65,2.9128861,2009-06-10,0.36528
87.717,-46.3,3.3390324,2009-06-11,0.35212
87.633,-43.083,3.8494272,2009-06-12,0.34704
87.567,-40.2,3.596294,2009-06-13,0.35132
87.483,-36.517,3.7658932,2009-06-14,0.34022
87.45,-35.55,3.7955146,2009-06-15,0.34133
87.45,-35.283,3.7992668,2009-06-16,0.34067
87.433,-35.5,3.785596,2009-06-17,0.34071
87.417,-35.95,3.752261,2009-06-18,0.33925
87.417,-36.383,3.739046,2009-06-19,0.33808
87.417,-37.9,3.6857681,2009-06-20,0.33806
87.45,-39.483,3.6848476,2009-06-21,0.34434
87.433,-40.033,3.6930652,2009-06-22,0.35342
87.417,-39.517,3.6526697,2009-06-23,0.35258
87.367,-38.65,3.6480057,2009-06-24,0.34905
87.317,-37.133,3.610865,2009-06-25,0.34583
87.267,-36.383,3.6442153,2009-06-26,0.34655
87.233,-34.733,3.7435887,2009-06-27,0.34141
87.183,-33.65,3.8502364,2009-06-28,0.34303
87.1,-32.9,3.9386437,2009-06-29,0.33994
87.05,-32.517,3.9574885,2009-06-30,0.33981
87.05,-32.633,3.9473886,2009-07-01,0.39437
87.033,-31.983,4.005841,2009-07-02,0.33863
87.05,-32.233,3.9849603,2009-07-03,0.3363
87.133,-33.217,3.9222894,2009-07-04,0.34022
87.2,-33.983,3.7981853,2009-07-05,0.34217
87.217,-34.267,3.7742777,2009-07-06,0.33863
87.2,-34.133,3.7908628,2009-07-07,0.33827
87.167,-34.433,3.8274019,2009-07-08,0.33315
87.1,-34.933,3.7572384,2009-07-09,0.3437
87.05,-34.15,3.8848033,2009-07-10,0.34249
87,-33.117,3.8538206,2009-07-11,0.33481
86.967,-32.133,3.9754765,2009-07-12,0.34261
86.933,-31.283,4.024076,2009-07-13,0.33251
86.883,-29.983,4.1205034,2009-07-14,0.33894
86.833,-28.617,4.1582174,2009-07-15,0.34089
86.733,-27.583,4.106307,2009-07-16,0.33623
86.633,-26.817,4.1498275,2009-07-17,0.3382
86.55,-26.533,4.0692596,2009-07-18,0.33421
86.483,-26.133,4.0200343,2009-07-19,0.33644
86.433,-26.317,3.968797,2009-07-20,0.34007
86.383,-27.017,3.8780866,2009-07-21,0.34396
86.333,-28.117,3.796647,2009-07-22,0.35016
86.333,-29.183,3.8000643,2009-07-23,0.3756
86.383,-30.267,3.7962759,2009-07-24,0.35266
86.45,-31,3.806998,2009-07-25,0.37625
86.467,-30.667,3.8316374,2009-07-25,0.36939
86.45,-30.317,3.8385043,2009-07-26,0.36065
86.433,-30.383,3.8322077,2009-07-27,0.35726
86.367,-30.867,3.723444,2009-07-28,0.36766
86.3,-30.85,3.4196754,2009-07-29,0.3644
86.267,-31.2,3.4383569,2009-07-30,0.37563
86.217,-31.433,3.5457087,2009-08-01,0.3804
86.2,-31.467,3.5732534,2009-08-02,0.37826
86.15,-30.983,3.5829144,2009-08-03,0.3741
86.117,-30.167,3.7933445,2009-08-04,0.35678
86.083,-29.3,3.7558012,2009-08-05,0.37534
86.05,-28.783,3.7408168,2009-08-06,0.37781
86.033,-28.467,3.7399333,2009-08-07,0.36939
